seed = 955873387892604119

======================================================================
Testing Stage 4 W=28 (Stage 3 W=34)
======================================================================
Starting MMA Modeling Verification (10000 iterations)...
Test 274/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 275/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 276/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 277/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 278/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 279/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 280/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 281/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 282/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 283/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 284/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 285/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 286/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 287/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 288/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 289/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 290/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 291/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 292/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 293/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 294/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 295/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 296/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 297/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 298/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 299/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 300/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 301/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 302/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 303/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 304/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 305/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 306/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 307/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 308/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 309/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 310/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 311/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 312/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 313/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 314/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 315/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 316/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 317/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 318/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 319/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 320/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 321/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 322/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 323/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 324/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 325/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 326/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 327/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 328/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 329/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 330/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 331/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 332/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 333/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 334/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 335/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 336/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 337/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
